Make,Model,Price,Year,Kilometer,Transmission,Location,Color,Owner,Seller Type,Engine,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Max Power BHP,Max Power RPM,Max Torque Nm,Max Torque RPM,Drivetrain_FWD,Drivetrain_RWD,Fuel Type_CNG + CNG,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_Hybrid,Fuel Type_LPG,Fuel Type_Petrol,Fuel Type_Petrol + LPG
Hyundai,i20 Active 1.2 SX,13.296318365198623,0.7941176470588235,10.714439990727769,Manual,Thane,White,1,Individual,1197.0,3995.0,1760.0,1555.0,5.0,45.0,82.0,6000.0,-0.44680851063829785,4000.0,True,False,False,False,False,False,False,True,False
Hyundai,Venue SX (O) 1.0 Turbo iMT,13.864301674514206,0.9705882352941176,8.922791623969637,Manual,Hyderabad,Blue,1,Individual,998.0,3995.0,1770.0,1605.0,5.0,45.0,118.0,6000.0,-0.20425531914893616,1500.0,True,False,False,False,False,False,False,True,False
Hyundai,Verna Fluidic 1.6 VTVT SX AT,13.377007146164305,0.7941176470588235,10.971657815702502,Automatic,Mumbai,Silver,1,Individual,1591.0,4370.0,1700.0,1475.0,5.0,43.0,121.0,6300.0,-0.26382978723404255,4200.0,True,False,False,False,False,False,False,True,False
Honda,Amaze 1.2 S AT i-VTEC,12.873904582205107,0.7647058823529411,11.112462823634855,Automatic,Delhi,Red,1,Individual,1198.0,3990.0,1680.0,1505.0,5.0,35.0,87.0,6000.0,-0.4723404255319149,4500.0,True,False,False,False,False,False,False,True,False
Mercedes-Benz,GLA 200 Sport,14.946912992035967,0.9117647058823529,10.085850775128717,Automatic,Delhi,Red,1,Individual,1991.0,4424.0,1804.0,1494.0,5.0,50.0,181.0,5500.0,0.3404255319148936,1200.0,True,False,False,False,False,False,False,True,False
BMW,X3 xDrive 20d Luxury Line [2018-2020],15.150511887854474,0.8823529411764706,11.373674891823535,Automatic,Raipur,Blue,1,Individual,1995.0,4657.0,1881.0,1678.0,5.0,67.0,190.0,4000.0,0.7659574468085106,1750.0,False,False,False,True,False,False,False,False,False
Toyota,Corolla Altis 1.8 G,12.73670383776449,0.6764705882352942,11.599112335481124,Manual,Mumbai,White,2,Individual,1794.0,4540.0,1760.0,1480.0,5.0,55.0,,,,,True,False,False,False,False,False,False,True,False
Maruti Suzuki,Swift DZire VXI,13.017005083966255,0.7647058823529411,10.859018228147887,Manual,Delhi,Silver,1,Individual,1197.0,3995.0,1695.0,1555.0,5.0,42.0,85.0,6000.0,-0.451063829787234,4000.0,True,False,False,False,False,False,False,True,False
BMW,X5 3.0d,14.151983508870947,0.6176470588235294,11.652696102959753,Automatic,Coimbatore,Green,2,Individual,2993.0,4854.0,1933.0,1776.0,5.0,85.0,,,,,False,False,False,True,False,False,False,False,False
Maruti Suzuki,Swift DZire VDI,12.899222326086994,0.7941176470588235,11.082157933374816,Manual,Delhi,Silver,2,Individual,1248.0,3995.0,1695.0,1555.0,5.0,42.0,74.0,4000.0,-0.1276595744680851,2000.0,True,False,False,True,False,False,False,False,False
Toyota,Fortuner 2.8 4x2 AT [2016-2020],15.096444681204078,0.8823529411764706,8.962007209588313,Automatic,Mumbai,White,1,Individual,2755.0,4795.0,1855.0,1835.0,7.0,80.0,174.0,3400.0,0.9787234042553191,1600.0,False,True,False,True,False,False,False,False,False
Toyota,Corolla Altis VL AT Petrol,14.316286451937186,0.8823529411764706,10.162577230623807,Automatic,Pune,Brown,1,Corporate,1798.0,4620.0,1775.0,1475.0,5.0,55.0,138.0,6400.0,-0.2,4000.0,True,False,False,False,False,False,False,True,False
Maruti Suzuki,Swift DZire VDI,13.017005083966255,0.7647058823529411,11.225256725762893,Manual,Ludhiana,White,2,Individual,1248.0,3995.0,1695.0,1555.0,5.0,42.0,74.0,4000.0,-0.1276595744680851,2000.0,True,False,False,True,False,False,False,False,False
Toyota,Fortuner 3.0 4x2 AT,14.151983508870947,0.7647058823529411,11.870606902224587,Automatic,Faridabad,White,2,Individual,2982.0,4705.0,1840.0,1850.0,7.0,80.0,169.0,3600.0,0.5957446808510638,1400.0,False,True,False,True,False,False,False,False,False
Mercedes-Benz,GLA 200 CDI Sport,14.711598990684092,0.8529411764705882,10.12667110305036,Automatic,Mumbai,White,2,Individual,2143.0,4417.0,1804.0,1494.0,5.0,50.0,134.0,3600.0,0.3404255319148936,1600.0,True,False,False,True,False,False,False,False,False
Maruti Suzuki,Swift DZire VDI,13.26212705890841,0.8529411764705882,10.463131911491967,Manual,Patna,White,1,Individual,1248.0,3995.0,1695.0,1555.0,5.0,42.0,74.0,4000.0,-0.1276595744680851,2000.0,True,False,False,True,False,False,False,False,False
Mercedes-Benz,GLA 200 Sport,14.626441218624949,0.7941176470588235,10.673618922112436,Automatic,Pune,Silver,1,Corporate,1991.0,4424.0,1804.0,1494.0,5.0,50.0,181.0,5500.0,0.3404255319148936,1200.0,True,False,False,False,False,False,False,True,False
Maruti Suzuki,Ritz Vdi BS-IV,12.524530013005734,0.7352941176470589,11.359611101999183,Manual,Ambala Cantt,Silver,2,Individual,1248.0,3775.0,1680.0,1620.0,5.0,43.0,73.0,4000.0,-0.1276595744680851,2000.0,True,False,False,True,False,False,False,False,False
Toyota,Innova 2.5 ZX 7 STR BS-IV,13.815511557963774,0.7647058823529411,11.974714194131336,Manual,Ahmedabad,Silver,2,Individual,2494.0,4585.0,1760.0,1760.0,7.0,55.0,100.0,3600.0,-0.0851063829787234,1400.0,False,True,False,True,False,False,False,False,False
Maruti Suzuki,SX4 VXi,12.691583538230217,0.7058823529411765,11.678448377988165,Manual,Pune,White,1,Individual,1586.0,4490.0,1735.0,1560.0,5.0,50.0,,,,,False,True,False,False,False,False,False,True,False
Maruti Suzuki,Swift DZire VXI,13.049794835104816,0.7647058823529411,11.082157933374816,Manual,Ahmedabad,White,2,Individual,1197.0,3995.0,1695.0,1555.0,5.0,42.0,85.0,6000.0,-0.451063829787234,4000.0,True,False,False,False,False,False,False,True,False
Mahindra,Scorpio SLE BS-IV,12.983101310070822,0.7352941176470589,11.669937760751914,Manual,Kanpur,White,1,Individual,2179.0,4430.0,1817.0,1975.0,8.0,60.0,120.0,4000.0,0.2978723404255319,1800.0,False,True,False,True,False,False,False,False,False
Mercedes-Benz,E-Class 200,15.768538316632412,1.0,7.005789019253503,Manual,Bangalore,Black,0,Individual,,,,,,,,,,,False,True,False,False,False,False,False,True,False
Mercedes-Benz,C-Class C 220 CDI Avantgarde,14.790070575320824,0.8529411764705882,11.156264806643742,Automatic,Pune,Brown,2,Individual,2143.0,4686.0,1810.0,1442.0,5.0,66.0,168.0,3000.0,0.7659574468085106,1400.0,False,True,False,True,False,False,False,False,False
Kia,Seltos HTK 1.5 Diesel [2020-2021],14.077875591662238,0.9411764705882353,10.203629181337648,Manual,Jaipur,Silver,1,Individual,1493.0,4315.0,1800.0,1645.0,5.0,50.0,113.0,4000.0,0.1276595744680851,1500.0,True,False,False,True,False,False,False,False,False
Honda,City SV,13.641158361294979,0.9117647058823529,10.434145214930487,Manual,Delhi,White,1,Individual,1497.0,4440.0,1695.0,1495.0,5.0,40.0,117.0,6600.0,-0.3191489361702128,4600.0,True,False,False,False,False,False,False,True,False
