Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Max Power BHP,Max Power RPM,Max Torque Nm,Max Torque RPM
Ford,Endeavour Titanium 3.2 4x4 AT,14.508658238524095,0.8529411764705882,11.440365524765756,Diesel,Automatic,Ahmedabad,White,First,Individual,2.2643539570370397,AWD,4892.0,1860.0,1837.0,0.8333333333333334,80.0,197.0,3000.0,470.0,1750.0
Maruti Suzuki,Celerio ZXi [2017-2019],13.005831808336863,0.8823529411764706,11.170449240431308,Petrol,Manual,Ludhiana,White,First,Individual,-1.0755963814854521,FWD,3600.0,1600.0,1560.0,0.5,35.0,67.0,6000.0,90.0,3500.0
Audi,Q3 35 TDI Premium + Sunroof,14.40274151293267,0.8235294117647058,11.346882686945893,Diesel,Automatic,Karnal,White,First,Individual,0.3970180859540102,AWD,4385.0,1831.0,1608.0,0.5,64.0,174.0,4200.0,380.0,1750.0
Audi,Q3 35 TDI Technology with Navigation,14.4247330473601,0.8529411764705882,11.608244735642321,Diesel,Automatic,Mumbai,Blue,First,Individual,0.3970180859540102,AWD,4385.0,1831.0,1608.0,0.5,64.0,174.0,4200.0,380.0,1750.0
Hyundai,Elite i20 Asta 1.2,13.42246945133505,0.8529411764705882,10.79121418728553,Petrol,Manual,Hyderabad,White,First,Individual,-0.7734826917736448,FWD,3985.0,1734.0,1505.0,0.5,45.0,82.0,6000.0,115.0,4000.0
Ford,Ecosport Titanium 1.5 TDCi,13.296318365198623,0.7941176470588235,10.668978650219241,Diesel,Manual,Mumbai,Silver,First,Individual,-0.31651675909397664,FWD,3999.0,1765.0,1708.0,0.5,52.0,89.0,3750.0,204.0,2000.0
Toyota,Camry Hybrid,14.284889617206765,0.7941176470588235,11.433405953738895,Petrol,Automatic,Mumbai,Silver,First,Individual,1.1955698487098423,FWD,4825.0,1825.0,1480.0,0.5,65.0,202.0,5700.0,270.0,4500.0
Toyota,Corolla Altis VL AT Petrol,13.90626583447433,0.8235294117647058,10.714439990727769,Petrol,Automatic,Mumbai,Black,First,Individual,0.1389310143409086,FWD,4620.0,1775.0,1475.0,0.5,55.0,138.0,6400.0,173.0,4000.0
Maruti Suzuki,Alto 800 Lxi,12.560247968016562,0.8235294117647058,9.741027444837728,Petrol,Manual,Lucknow,White,First,Individual,-1.382264548931608,FWD,3395.0,1490.0,1475.0,0.5,35.0,47.0,6000.0,69.0,3500.0
Honda,City 1.5 S MT,13.120363378739663,0.7058823529411765,11.477370823556365,Petrol,Manual,Bangalore,Silver,Second,Individual,-0.31803491833875963,FWD,4440.0,1695.0,1485.0,0.5,42.0,116.0,6600.0,146.0,4800.0
Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,13.864301674514206,0.9411764705882353,9.697876897764221,Petrol,Automatic,Pune,White,First,Individual,-1.0755963814854521,FWD,3995.0,1775.0,1505.0,0.5,37.0,118.0,6000.0,172.0,1500.0
Honda,Amaze 1.2 E i-VTEC,13.384729180332174,0.9117647058823529,10.645448706505872,Petrol,Manual,Delhi,White,First,Individual,-0.7719645325288619,FWD,3990.0,1680.0,1505.0,0.5,35.0,87.0,6000.0,109.0,4500.0
Honda,Amaze 1.5 VX i-DTEC,13.74830287778897,0.9117647058823529,10.933124826700707,Diesel,Manual,Hyderabad,White,First,Individual,-0.31651675909397664,FWD,3990.0,1680.0,1505.0,0.5,35.0,99.0,3600.0,200.0,1750.0
Jaguar,XE Prestige Diesel,14.862829903121964,0.8823529411764706,10.714439990727769,Diesel,Automatic,Dehradun,White,First,Individual,0.4440810225422817,RWD,4795.0,1967.0,1416.0,0.5,56.0,177.0,4000.0,430.0,1750.0
BMW,X1 sDrive20d xLine,15.314017133154755,0.9705882352941176,8.867990898182093,Diesel,Automatic,Chennai,Orange,First,Individual,0.4380083855631499,RWD,4454.0,2044.0,1545.0,0.5,63.0,184.0,4000.0,350.0,1750.0
Mercedes-Benz,E-Class E200 CGI Blue Efficiency,14.316286451937186,0.7647058823529411,10.879743865577717,Petrol,Automatic,Navi Mumbai,Silver,Second,Individual,0.13589469585134267,RWD,4868.0,1854.0,1470.0,0.5,80.0,186.0,5600.0,285.0,4000.0
Honda,CR-V 2.4 AT,12.429220196836383,0.5294117647058824,11.68940499028055,Petrol,Automatic,Pune,Black,Third,Individual,0.9830275544402293,AWD,4630.0,1780.0,1710.0,0.5,58.0,131.23254237288137,4801.317966101695,328.3597025016903,2596.0838404327246
